,0,1,2,3
0,1.0007367,0.0028225956,0.0011614672,0.0024091562
1,0.9997502,-0.002225968,-0.012384711,-0.015809592
2,0.9987999,-0.008080634,-0.024791427,-0.032179814
3,0.99766606,-0.012366687,-0.03673434,-0.045490246
4,0.9964961,-0.016502993,-0.047827505,-0.057438817
5,0.99515474,-0.020351227,-0.058493957,-0.0690201
6,0.99371463,-0.023595659,-0.06919059,-0.07993522
7,0.99222755,-0.026779206,-0.07980832,-0.0899986
8,0.9905057,-0.030477276,-0.09036432,-0.099854395
9,0.9882773,-0.034475047,-0.10122527,-0.10947504
10,0.9858874,-0.038656205,-0.11139732,-0.11886158
11,0.98297733,-0.043349054,-0.12135518,-0.12811053
12,0.97979844,-0.048528448,-0.1310518,-0.13753961
13,0.9764995,-0.05386702,-0.14087217,-0.14659229
14,0.97303987,-0.059320655,-0.15085916,-0.15587205
15,0.9693798,-0.06497454,-0.1611141,-0.16548063
16,0.9653379,-0.07084859,-0.1724878,-0.17553762
17,0.9607465,-0.07706992,-0.18460695,-0.18597542
18,0.9556864,-0.08355805,-0.19693005,-0.19644235
19,0.95045125,-0.08974061,-0.2087316,-0.20668629
20,0.9454732,-0.09549467,-0.21922557,-0.21659605
21,0.9404769,-0.10064033,-0.22893456,-0.22592674
22,0.9353616,-0.104804926,-0.23805262,-0.23524348
23,0.92995596,-0.10904487,-0.24679218,-0.2449815
24,0.92443985,-0.113704085,-0.25523716,-0.25476772
25,0.9187391,-0.118464105,-0.26343527,-0.26447377
26,0.9129011,-0.123454876,-0.2713053,-0.27338833
27,0.9071048,-0.12830806,-0.27905613,-0.28179926
28,0.901335,-0.13304283,-0.28668302,-0.29007238
29,0.89530253,-0.13793792,-0.2945724,-0.2984155
30,0.88887465,-0.14292963,-0.303074,-0.30679795
31,0.8822548,-0.14788519,-0.31189424,-0.31513134
32,0.875552,-0.1527062,-0.32089955,-0.32318735
33,0.86842823,-0.15699802,-0.33081046,-0.33075452
34,0.86079115,-0.16127285,-0.34130445,-0.3381168
35,0.8528417,-0.16547455,-0.3517741,-0.34560516
36,0.84490156,-0.16948794,-0.36164308,-0.35325247
37,0.83689195,-0.1733849,-0.37102386,-0.3610726
38,0.82866466,-0.17661068,-0.3803317,-0.36893612
39,0.82035094,-0.1793036,-0.38905585,-0.37685633
40,0.81193835,-0.18122159,-0.39758375,-0.38488287
41,0.8036666,-0.18217257,-0.40591368,-0.39273643
42,0.7965842,-0.18390171,-0.41192982,-0.40061033
43,0.78962797,-0.18623845,-0.4173537,-0.40755147
44,0.7824426,-0.18904632,-0.42336994,-0.41384625
45,0.77505094,-0.19227147,-0.43014574,-0.41927484
46,0.7674315,-0.19571039,-0.43748695,-0.4241691
47,0.7595411,-0.1994377,-0.4451565,-0.428651
48,0.75142896,-0.20358448,-0.45325997,-0.4325071
49,0.7430471,-0.2063102,-0.46164566,-0.43700388
50,0.73507106,-0.20898572,-0.4684492,-0.44210783
51,0.72730356,-0.21170515,-0.47411862,-0.4478052
52,0.7193135,-0.21453482,-0.47922716,-0.4542031
53,0.7103301,-0.21811888,-0.48506024,-0.46100423
54,0.70025945,-0.22290583,-0.49167663,-0.46777353
55,0.68927354,-0.22675028,-0.4993049,-0.47460714
56,0.6779937,-0.22960888,-0.508735,-0.47946817
57,0.66671556,-0.23092285,-0.518948,-0.48302552
58,0.65626353,-0.23112144,-0.5285846,-0.48635662
59,0.64662254,-0.23046806,-0.5373796,-0.4896871
60,0.6376421,-0.2289988,-0.5456302,-0.4930797
61,0.62946093,-0.22700337,-0.5528832,-0.49658483
62,0.622206,-0.22541714,-0.5590385,-0.49997365
63,0.61557794,-0.22301134,-0.56439596,-0.50322247
64,0.6095291,-0.21995135,-0.56887406,-0.5065978
65,0.60396206,-0.21663316,-0.5726147,-0.5101506
66,0.5988798,-0.21322021,-0.575412,-0.5141516
67,0.594045,-0.2098274,-0.5774085,-0.5186656
68,0.5892725,-0.20641163,-0.57884973,-0.52366257
69,0.5845124,-0.20305791,-0.5798781,-0.52899426
70,0.5792061,-0.19957381,-0.58095354,-0.53457487
71,0.5734872,-0.19580334,-0.5822277,-0.54009014
72,0.567202,-0.19230029,-0.58372265,-0.5460762
73,0.56120515,-0.18959731,-0.58444476,-0.5524216
74,0.55546415,-0.1872937,-0.58494157,-0.5585514
75,0.54985434,-0.1856009,-0.58545774,-0.5642021
76,0.5439548,-0.18449567,-0.58646995,-0.5692924
77,0.53770465,-0.1842448,-0.5881385,-0.57367843
78,0.5310969,-0.18490855,-0.59025395,-0.57754856
79,0.52398294,-0.18717098,-0.5924381,-0.58140004
80,0.51659364,-0.18974663,-0.59505767,-0.5847099
81,0.5093115,-0.19214258,-0.59759206,-0.58782804
82,0.5019818,-0.19478571,-0.59973425,-0.59124476
83,0.49422792,-0.19743577,-0.60162973,-0.5953015
84,0.48603225,-0.19931802,-0.6040367,-0.5995397
85,0.4773118,-0.20066868,-0.60671794,-0.60382164
86,0.46746743,-0.20197636,-0.60991365,-0.60829663
87,0.45761463,-0.20313588,-0.6135736,-0.61219954
88,0.44858888,-0.20370227,-0.6176314,-0.61498606
89,0.44021666,-0.20406987,-0.62156314,-0.61727387
90,0.4322504,-0.2041842,-0.6249153,-0.6197819
91,0.42441782,-0.20382267,-0.62794113,-0.62235767
92,0.4165667,-0.2032721,-0.63049334,-0.6254353
93,0.4086108,-0.20249979,-0.6325889,-0.6283171
94,0.4002232,-0.20128182,-0.63436913,-0.6314033
95,0.39174435,-0.19968385,-0.6362168,-0.6346365
96,0.38285047,-0.1975982,-0.6386715,-0.6377
97,0.3740058,-0.19551967,-0.64127576,-0.64054924
98,0.365278,-0.19352089,-0.6435464,-0.64360464
99,0.35596368,-0.19177644,-0.64583313,-0.64686054
100,0.34627247,-0.19064197,-0.6484621,-0.64998925
101,0.33600086,-0.18999185,-0.65112495,-0.6531178
102,0.32505912,-0.18992594,-0.6536208,-0.65620536
103,0.3127094,-0.19125532,-0.6562687,-0.65914273
104,0.30012795,-0.19241157,-0.6597559,-0.66146094
105,0.28715342,-0.19300595,-0.66383845,-0.6633199
106,0.27489454,-0.19309062,-0.66792285,-0.66445875
107,0.26338926,-0.1931469,-0.6716707,-0.665397
108,0.25251788,-0.19320054,-0.675099,-0.6662073
109,0.2421546,-0.193591,-0.6779715,-0.6670707
110,0.23212911,-0.19401613,-0.6807811,-0.6678451
111,0.22224955,-0.19416337,-0.6838319,-0.66825724
112,0.21266894,-0.19458787,-0.68650836,-0.6687886
113,0.2028574,-0.19536375,-0.6894254,-0.669296
114,0.193182,-0.19606751,-0.6921062,-0.6697894
115,0.18393627,-0.19651121,-0.6942764,-0.6697309
116,0.1745495,-0.196734,-0.6963766,-0.66973466
117,0.1644206,-0.19682987,-0.69865286,-0.669781
118,0.15368007,-0.19686802,-0.70091754,-0.66992897
119,0.14304434,-0.19699492,-0.70290077,-0.6699779
120,0.1313596,-0.19702196,-0.70457935,-0.6703052
121,0.11850654,-0.19709972,-0.7057998,-0.6711785
122,0.10607709,-0.19584872,-0.70700365,-0.6719912
123,0.093673706,-0.19450016,-0.7070855,-0.6736307
124,0.08019013,-0.19355495,-0.70614624,-0.67622167
125,0.06655695,-0.19199985,-0.7053392,-0.67945874
126,0.05284775,-0.1901723,-0.7040761,-0.6829065
127,0.038574338,-0.18795471,-0.70324075,-0.68578595
128,0.024987672,-0.18635184,-0.7031081,-0.687406
129,0.013191541,-0.18526474,-0.7038629,-0.6875227
130,0.0012055496,-0.18409202,-0.70389926,-0.68776226
131,-0.014558388,-0.18192756,-0.70317334,-0.6883963
132,-0.02999618,-0.17953268,-0.7020609,-0.68928194
133,-0.04473638,-0.17767169,-0.7003301,-0.69077754
134,-0.05928471,-0.17605466,-0.69777715,-0.6928228
135,-0.073905766,-0.17442003,-0.69505465,-0.69448787
136,-0.08927031,-0.17286074,-0.6917728,-0.6965172
137,-0.10502991,-0.17108433,-0.6884784,-0.698256
138,-0.12001176,-0.1695351,-0.68527955,-0.6992797
139,-0.13471225,-0.16750917,-0.68221384,-0.699946
140,-0.14917485,-0.16516647,-0.6789279,-0.7004856
141,-0.16361588,-0.16245951,-0.67506844,-0.7013306
142,-0.17755422,-0.16027158,-0.6710959,-0.70198137
143,-0.19118614,-0.15875505,-0.6669648,-0.70256263
144,-0.20474368,-0.15758695,-0.66281956,-0.7028136
145,-0.21829587,-0.15644619,-0.6587475,-0.7026058
146,-0.23180142,-0.15550904,-0.65426034,-0.70242894
147,-0.24633455,-0.15497409,-0.64924157,-0.7020903
148,-0.26132438,-0.15435728,-0.64365685,-0.7017547
149,-0.27720848,-0.15339352,-0.6376565,-0.70174956
150,-0.2929966,-0.15305044,-0.6317702,-0.7012261
151,-0.31020585,-0.15304804,-0.62519854,-0.7004228
152,-0.32777038,-0.1524174,-0.6185091,-0.69829965
153,-0.3444403,-0.1526626,-0.6119425,-0.69563603
154,-0.3595411,-0.15400822,-0.6058963,-0.6927191
155,-0.37349713,-0.15621534,-0.6001869,-0.68970364
156,-0.38574877,-0.16018681,-0.59494144,-0.6867519
157,-0.3967034,-0.16367236,-0.59070915,-0.6835761
158,-0.40839207,-0.16453049,-0.58695316,-0.679774
159,-0.42125663,-0.16315144,-0.583724,-0.6745837
160,-0.4350993,-0.15981156,-0.58033097,-0.66943794
161,-0.4502533,-0.15511556,-0.5769941,-0.6633154
162,-0.46643093,-0.1491367,-0.5730687,-0.65684026
163,-0.4840795,-0.14221591,-0.5685011,-0.6498716
164,-0.50120026,-0.13513875,-0.5644587,-0.6415602
165,-0.51825315,-0.12872376,-0.5597027,-0.633669
166,-0.5342931,-0.1230639,-0.5543783,-0.62677103
167,-0.5495107,-0.11695805,-0.5493676,-0.61969
168,-0.5637952,-0.11192442,-0.542997,-0.61301315
169,-0.5775375,-0.10778109,-0.5357474,-0.60697687
170,-0.591084,-0.10370798,-0.5284285,-0.60102904
171,-0.6044905,-0.10037909,-0.51989293,-0.59569246
172,-0.6180991,-0.097312376,-0.510414,-0.5906135
173,-0.63188434,-0.09501431,-0.50000113,-0.5856468
174,-0.6452848,-0.092774935,-0.48987296,-0.5798803
175,-0.6589708,-0.090445116,-0.47897482,-0.57380176
176,-0.67248976,-0.087334506,-0.46730238,-0.5678439
177,-0.6860056,-0.08360238,-0.45482272,-0.5617673
178,-0.6994251,-0.079469,-0.4408915,-0.55627936
179,-0.71280855,-0.07482216,-0.42553294,-0.5512429
180,-0.7262923,-0.06895052,-0.40882885,-0.5464326
181,-0.7399299,-0.06216646,-0.39017063,-0.5424273
182,-0.7534211,-0.05496628,-0.3696798,-0.539105
183,-0.76659167,-0.048564497,-0.34742612,-0.5361872
184,-0.77977014,-0.043328095,-0.322762,-0.53357434
185,-0.7929957,-0.038542926,-0.29623798,-0.53063256
186,-0.80628747,-0.03384756,-0.26704574,-0.5271025
187,-0.8197733,-0.030749837,-0.23425929,-0.5223777
188,-0.8329213,-0.027020225,-0.19696327,-0.5181366
189,-0.8444967,-0.022563888,-0.15430573,-0.5134809
190,-0.85470194,-0.019244846,-0.104908355,-0.5105044
191,-0.86073714,-0.0178221,-0.048963647,-0.50888234
192,-0.8641622,-0.020994121,0.014562696,-0.5033232
193,-0.86418456,-0.025126759,0.07807761,-0.49792048
194,-0.8578016,-0.031558193,0.14720294,-0.49342716
195,-0.842151,-0.038677793,0.22275421,-0.4906128
196,-0.8183953,-0.045777585,0.30579266,-0.4854752
197,-0.7845615,-0.048091263,0.39080945,-0.47952822
198,-0.74253416,-0.044616815,0.47718832,-0.4689586
199,-0.6892411,-0.036822468,0.56084216,-0.45768824
200,-0.624548,-0.026315087,0.6447357,-0.44204095
201,-0.5447725,-0.035905864,0.7261113,-0.42038122
202,-0.44742817,-0.043081418,0.8056057,-0.3867862
203,-0.33533764,-0.072312,0.87161016,-0.35266346
204,-0.20067193,-0.14256684,0.92141944,-0.3021926
205,-0.068569705,-0.21371388,0.93302816,-0.28246036
206,0.02680316,-0.26274648,0.9166741,-0.30266428
207,0.0829176,-0.2946577,0.89079964,-0.3342343
208,0.12465385,-0.31192988,0.8703235,-0.35812894
209,0.15226899,-0.32201704,0.8550261,-0.37602848
210,0.17593655,-0.33028242,0.8422738,-0.38823745
211,0.1949655,-0.3376441,0.83235157,-0.395426
212,0.20920423,-0.3435565,0.82455,-0.3989915
213,0.22028568,-0.3501927,0.8173983,-0.40147316
214,0.2287994,-0.3579706,0.8102296,-0.4035058
215,0.23553969,-0.36663857,0.803259,-0.40509316
216,0.241449,-0.37602827,0.7962281,-0.40642264
217,0.24684112,-0.38562688,0.7891454,-0.40767395
218,0.2518955,-0.39546403,0.78188413,-0.4089062
219,0.2562844,-0.40519553,0.7750037,-0.40935344
220,0.26029304,-0.41460955,0.7686646,-0.409132
221,0.26354328,-0.42386445,0.76302063,-0.40808192
222,0.26607177,-0.43295088,0.75786567,-0.4061896
223,0.26808542,-0.44192883,0.75321794,-0.40362063
224,0.26967528,-0.4504803,0.7489507,-0.40086117
225,0.27069098,-0.4584709,0.74489003,-0.39858618
226,0.27113444,-0.46668735,0.74032307,-0.39723113
227,0.27090013,-0.47511086,0.73530114,-0.39679947
228,0.26999757,-0.4838296,0.72987044,-0.3971519
229,0.26842323,-0.49285594,0.72409445,-0.39801505
230,0.2663579,-0.5020038,0.71803784,-0.39919364
231,0.26373112,-0.51109934,0.7117838,-0.4007763
232,0.2603995,-0.520142,0.70534515,-0.4028802
233,0.25712046,-0.52923244,0.69862497,-0.40513518
234,0.2544939,-0.538351,0.6913712,-0.40749666
235,0.2522532,-0.5476608,0.68384147,-0.4096265
236,0.24975447,-0.55680615,0.6767535,-0.4111789
237,0.24684966,-0.5658731,0.6696849,-0.41252252
238,0.24346894,-0.5751586,0.6624582,-0.41377676
239,0.24007748,-0.58446234,0.6548003,-0.41524646
240,0.23679113,-0.5939597,0.6464393,-0.4164612
241,0.23382144,-0.6043045,0.63705206,-0.41739917
242,0.23134086,-0.61584955,0.6264028,-0.41828382
243,0.22937657,-0.62799436,0.6147806,-0.41876733
244,0.22753425,-0.6405626,0.6022345,-0.41903013
245,0.22498134,-0.65251774,0.5889243,-0.4214024
246,0.22062615,-0.6638581,0.5746025,-0.42598963
247,0.21827665,-0.6746958,0.5612011,-0.42832845
248,0.21756949,-0.68515223,0.5482733,-0.42886278
249,0.21787956,-0.6957092,0.5350426,-0.42798683
250,0.21886891,-0.70643735,0.52208304,-0.42557937
251,0.22090146,-0.7173434,0.50925213,-0.4216982
252,0.22442257,-0.7283043,0.49602494,-0.4166317
253,0.22928053,-0.73886156,0.4827342,-0.41089794
254,0.2355338,-0.74934864,0.46932665,-0.40381607
255,0.243329,-0.76042557,0.4550173,-0.39445657
256,0.252674,-0.7723321,0.43935952,-0.38254803
257,0.2630143,-0.78448594,0.42217264,-0.36937612
258,0.27345043,-0.7970759,0.4032071,-0.3554856
259,0.2827054,-0.81057626,0.38228443,-0.34075472
260,0.29018757,-0.8255811,0.35938722,-0.32376015
261,0.29687387,-0.8412461,0.33374283,-0.3051786
262,0.30292484,-0.8558382,0.3063553,-0.28766826
263,0.30842584,-0.8693943,0.27618375,-0.2712754
264,0.3141265,-0.88191885,0.24456431,-0.25585303
265,0.3191974,-0.89346975,0.21029285,-0.24095595
266,0.323776,-0.9035621,0.1745463,-0.22535269
267,0.32722336,-0.912764,0.13663934,-0.20775002
268,0.3297809,-0.9210157,0.097737916,-0.18832336
269,0.33130613,-0.9278118,0.057959136,-0.16901398
270,0.32968962,-0.9327481,0.017757187,-0.15041202
271,0.3270953,-0.9357365,-0.027674958,-0.13060297
272,0.32280543,-0.9370611,-0.07204394,-0.10898776
273,0.31814796,-0.9352612,-0.116062924,-0.08734226
274,0.31353799,-0.93126863,-0.15975025,-0.06944199
275,0.30938447,-0.9251671,-0.20368834,-0.05441141
276,0.3055269,-0.91708654,-0.24897696,-0.04246724
277,0.3015985,-0.9066853,-0.29520556,-0.031784125
278,0.2975167,-0.8927058,-0.34158507,-0.022316057
279,0.2904446,-0.87433636,-0.3900891,-0.016758367
280,0.2819483,-0.8558436,-0.43500668,-0.011852164
281,0.27339253,-0.8364971,-0.47725815,-0.005969308
282,0.26369423,-0.81501466,-0.5178156,-0.0012687033
283,0.2528314,-0.79218763,-0.5558713,0.0021527861
284,0.24111481,-0.76878786,-0.5918169,0.004520066
285,0.22840165,-0.745952,-0.62505835,0.007023575
286,0.21575087,-0.72327834,-0.65568066,0.010216767
287,0.20238222,-0.7004535,-0.6839151,0.013507086
288,0.18892893,-0.6778232,-0.7097147,0.017135777
