,0,1,2,3
0,1.0007367,0.0028225956,0.0011614672,0.0024091562
1,1.0006891,0.0027382532,-0.0028028418,0.0013234917
2,1.000644,0.0025061588,-0.006754087,0.00031706557
3,1.0005656,0.0020954532,-0.010028907,-0.0011760681
4,1.0004942,0.001648878,-0.012976255,-0.0028647732
5,1.0004535,0.0012212788,-0.015744306,-0.0044484776
6,1.0004117,0.00078668114,-0.018389124,-0.005961344
7,1.0003035,0.0004427355,-0.021044943,-0.007448431
8,1.0001664,0.0001415639,-0.023673309,-0.008891192
9,1.0000321,-0.00026197723,-0.026224757,-0.010276109
10,0.9999007,-0.0007542848,-0.028707778,-0.011604857
11,0.99977094,-0.0012435535,-0.03116921,-0.012866225
12,0.99964446,-0.0017266395,-0.03360277,-0.014057383
13,0.9995201,-0.002201342,-0.03601275,-0.015184409
14,0.9993978,-0.0026876766,-0.038383435,-0.016251808
15,0.999276,-0.0031801937,-0.04073295,-0.017265031
16,0.9991547,-0.003670196,-0.043067377,-0.018232042
17,0.9990344,-0.00415192,-0.045391012,-0.019158604
18,0.998915,-0.0046214876,-0.047710977,-0.020047858
19,0.99879575,-0.00507649,-0.050037332,-0.020910392
20,0.99865735,-0.005580953,-0.052319154,-0.02172839
21,0.99851537,-0.0061138147,-0.054576244,-0.022538738
22,0.9983635,-0.006674341,-0.05681374,-0.02334741
23,0.9982117,-0.007251739,-0.05900911,-0.024148745
24,0.99806064,-0.007859526,-0.06115481,-0.024937296
25,0.9979087,-0.008509753,-0.06327179,-0.025732554
26,0.99775493,-0.009195295,-0.06536342,-0.026541645
27,0.9975957,-0.00992202,-0.067436814,-0.027369179
28,0.9974285,-0.0106061995,-0.06954698,-0.028265245
29,0.9972546,-0.011238508,-0.07168493,-0.029223349
30,0.99705446,-0.01183875,-0.073814176,-0.030216347
31,0.9968478,-0.012392989,-0.075928226,-0.031251367
32,0.99662995,-0.012904474,-0.077991664,-0.032307554
33,0.9964087,-0.013381482,-0.079994746,-0.03337904
34,0.9961913,-0.0138330255,-0.081935994,-0.034459643
35,0.9959784,-0.014270423,-0.083798654,-0.035543285
36,0.9957698,-0.014677955,-0.08557601,-0.03662955
37,0.9955614,-0.015080561,-0.08726147,-0.03771602
38,0.99535626,-0.0154833775,-0.08889526,-0.038801234
39,0.9951521,-0.015873095,-0.09047645,-0.03983227
40,0.9949512,-0.016248247,-0.092001475,-0.040848535
41,0.99474096,-0.016607469,-0.0935245,-0.041891728
42,0.9945202,-0.016961662,-0.09508463,-0.042959232
43,0.99429476,-0.017307263,-0.09666949,-0.044044342
44,0.99406743,-0.017630856,-0.09828232,-0.045140978
45,0.9938308,-0.017964406,-0.099928066,-0.046237197
46,0.9935877,-0.018363973,-0.10163699,-0.04730407
47,0.9933437,-0.018800009,-0.103438765,-0.04834905
48,0.99308956,-0.019292003,-0.105326995,-0.04938543
49,0.9928248,-0.019832095,-0.10730031,-0.05042024
50,0.9925338,-0.020402366,-0.10939079,-0.05145966
51,0.99219424,-0.021032264,-0.11159611,-0.05252329
52,0.99183303,-0.02169276,-0.11384712,-0.053622965
53,0.9914629,-0.022364156,-0.11614508,-0.05475376
54,0.9910798,-0.023075268,-0.11845394,-0.0558985
55,0.9906868,-0.023820959,-0.12077506,-0.05706681
56,0.99028474,-0.02456707,-0.12313306,-0.058268342
57,0.9898643,-0.025297882,-0.12548897,-0.059484128
58,0.98943305,-0.026018634,-0.12781155,-0.060713954
59,0.98900086,-0.026730793,-0.13008961,-0.06191758
60,0.98858106,-0.027439283,-0.1323378,-0.06303727
61,0.9881517,-0.0281177,-0.1346128,-0.06418641
62,0.98771495,-0.028756086,-0.1369247,-0.06535975
63,0.98727316,-0.029364921,-0.13925807,-0.066549756
64,0.9867938,-0.0299091,-0.14165045,-0.067712724
65,0.98629934,-0.030403504,-0.14410706,-0.06889036
66,0.9857947,-0.030858295,-0.1466121,-0.07008875
67,0.9852786,-0.031277772,-0.14916438,-0.07129521
68,0.9847459,-0.031679858,-0.1517524,-0.07249769
69,0.9842064,-0.032053854,-0.15437123,-0.07369209
70,0.98363036,-0.032415174,-0.15703638,-0.0748625
71,0.9830423,-0.032760985,-0.15969953,-0.07600378
72,0.98245454,-0.03308573,-0.16235974,-0.07713311
73,0.98186713,-0.033395283,-0.16500509,-0.078246936
74,0.98128176,-0.033693098,-0.16762926,-0.07934169
75,0.9807001,-0.03397834,-0.17022943,-0.08041579
76,0.98012704,-0.034264836,-0.17280331,-0.08144159
77,0.9795651,-0.034570303,-0.17533338,-0.082411535
78,0.9790105,-0.03488059,-0.17781734,-0.08334585
79,0.9784642,-0.035193704,-0.18025646,-0.08424422
80,0.97792625,-0.035505563,-0.18264936,-0.08510843
81,0.9773973,-0.035810817,-0.184995,-0.08593806
82,0.9768764,-0.036107585,-0.18730313,-0.086729236
83,0.97636116,-0.036395762,-0.18958777,-0.08747765
84,0.9758531,-0.03671317,-0.19182631,-0.08819819
85,0.97533566,-0.037059613,-0.1940482,-0.08889379
86,0.9748135,-0.037427533,-0.19624986,-0.08956508
87,0.97429746,-0.03780373,-0.19841515,-0.09021458
88,0.9737875,-0.038185276,-0.20054524,-0.09084259
89,0.9732841,-0.038568497,-0.20264053,-0.09145352
90,0.97278595,-0.038951926,-0.20470564,-0.09204496
91,0.972285,-0.03933158,-0.20676897,-0.09262225
92,0.9717826,-0.039703693,-0.20882392,-0.09318425
93,0.9712858,-0.040065642,-0.21085414,-0.093733035
94,0.9707941,-0.040419523,-0.21285763,-0.09426747
95,0.9703085,-0.040761035,-0.21483243,-0.09478545
96,0.9698245,-0.041098252,-0.21677786,-0.09528436
97,0.96933717,-0.04144333,-0.21869135,-0.09576221
98,0.96885175,-0.04177279,-0.22057559,-0.096215114
99,0.9683707,-0.042092506,-0.22243835,-0.09665586
