,0,1,2,3
0,1.0007371,0.002822267,0.0011632442,0.002409027
1,0.99011207,-0.059043795,-0.08268378,-0.09677396
2,0.96147966,-0.11310542,-0.16811875,-0.17899615
3,0.91737294,-0.15749599,-0.25891817,-0.25405082
4,0.8557339,-0.20159964,-0.34771252,-0.32425192
5,0.7782954,-0.23774463,-0.4354908,-0.38263196
6,0.69047916,-0.26761422,-0.51706475,-0.43031424
7,0.58983,-0.28344122,-0.5968936,-0.46546456
8,0.4804375,-0.28779003,-0.6680604,-0.48836577
9,0.3625228,-0.2800043,-0.730656,-0.49945527
10,0.23821422,-0.2682546,-0.78812796,-0.49800232
11,0.11417752,-0.24014424,-0.8277321,-0.49214557
12,-0.008428645,-0.20168798,-0.8559579,-0.47286385
13,-0.13112892,-0.15015276,-0.87048644,-0.44702932
14,-0.25569835,-0.087928146,-0.8643047,-0.41899735
15,-0.36468947,-0.016968893,-0.8502415,-0.3770771
16,-0.46186122,0.0545561,-0.81986547,-0.3288774
17,-0.54968905,0.13708638,-0.77384317,-0.27892482
18,-0.61940056,0.22163549,-0.717235,-0.22834782
19,-0.67945015,0.3072224,-0.6425256,-0.18220934
20,-0.71803105,0.3898859,-0.559741,-0.13718972
21,-0.7434708,0.47143644,-0.4632478,-0.09700073
22,-0.7549067,0.54578847,-0.3574893,-0.060000956
23,-0.7511633,0.611738,-0.24700469,-0.028083852
24,-0.72986,0.67231834,-0.124547005,-0.0046898113
25,-0.69642586,0.7175995,0.006935816,0.004036635
26,-0.6517615,0.74750537,0.122000165,0.009599941
27,-0.5981097,0.76381546,0.24341248,0.0041752513
28,-0.5338362,0.763897,0.36135733,-0.009445955
29,-0.46357182,0.7488375,0.47156203,-0.027241124
30,-0.38737795,0.71720314,0.5773254,-0.051237084
31,-0.30583072,0.67021143,0.6707711,-0.07934305
32,-0.22883375,0.60887307,0.7514985,-0.11314806
33,-0.1519775,0.5345944,0.8175115,-0.15300506
34,-0.07710199,0.44607738,0.8703624,-0.18900682
35,-0.0033534132,0.34730238,0.90919405,-0.22545978
36,0.051186163,0.2372999,0.9350875,-0.26422685
37,0.106879584,0.120601736,0.94260794,-0.29376197
38,0.15442619,0.008633081,0.93556005,-0.32145002
39,0.19310635,-0.11707028,0.9101341,-0.34363154
40,0.21162811,-0.24723093,0.8764748,-0.35619554
41,0.22092575,-0.37342128,0.8262253,-0.3584634
42,0.22268544,-0.4871938,0.76664114,-0.35312307
43,0.21695304,-0.5948459,0.6958133,-0.3393806
44,0.20183247,-0.6937168,0.61415386,-0.3159988
45,0.17644559,-0.7818536,0.5276665,-0.28006285
46,0.14403068,-0.8550149,0.43739155,-0.2383015
47,0.10936689,-0.9142067,0.34288317,-0.18564501
48,0.065881915,-0.957069,0.24803498,-0.12589714
